Vignette,Question,Answer,Dosage,Explanation,type
patient d yearold race gender history lung cancer present sudden onset pain patient d state pain begin suddenly subject cook breakfast patient d assert pain bad possessive lower radiate possessive thigh patient d try take ibuprofen acetaminophen subject relief physical exam find subject tender palpation midlumbar spine subject pain limitedmovement possessive hip flexor mri lumbar spine reveal pathologic fracture possessive l vertebral body canal neuroforaminal stenosis evidence metastatic disease,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),patient d pathologic fracture secondary metastatic disease spine pende evaluation require surgery radiation new lesion reasonable offer opioid pain relief interim,acute_cancer
patient d yearold race gender neurofibromatosis present progressive pelvic right leg pain patient d describe day increase pain possessive groin radiation possessive right leg pain severe subject try ibuprofen acetaminophen subject say help pain begin affect possessive ability walk subject decide come emergency room patient ds physical exam remarkable severe pain limitation right hip flexion subject describe diffuse dysesthesia palpate possessive leg ct mri pelvis reveal large mass region possessive right lumbosacral plexus preliminary read consistent malignant peripheral nerve sheath tumor,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),patient d neoplastic lesion likely cause polyradiculopathy pain management likely require different agent include neuropathic opioid medication definitive treatment mass,acute_cancer
patient d yearold race gender multiple myeloma present new diffuse midline pain patient d morning subject experience sudden spike sharp pain possessive patient d escort family member hospital emergency room subject moan agony complain pain possessive patient d refuse participate physical exam possessive pain control observe subject move extremity convince patient d cooperate ct scan reveal innumerable lytic lesion multiple pathologic fracture possessive spine consistent recurrent myeloma,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),patient d history multiple myeloma evidence recurrent disease spine opioid helpful control bone pain facilitate compliance diagnostic study,acute_cancer
patient d yearold race gender hepatitis c cirrhosis present new abdominal pain patient d prepare breakfast subject sudden onset sharp pain possessive right upper abdomen patient d deny nausea vomiting subject feel pain bad inspiration severe discomfort physical examination find subject guard possessive abdoman tender palpation possessive right upper quadrant ct abdomen reveal hepatic mass evidence hemorrhage,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),patient d new intratumoral hemorrhage reasonable manage associate pain opioid definitive treatment finalize,acute_cancer
patient d yearold race gender history renal cell carcinoma present acute neck pain patient d say subject neck discomfort week suddenly bad today patient d endorse severe pain bad flexion extension possessive neck subject relief ibuprofen possessive physical examination subject neurological deficit note tenderness palpation possessive neck,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),patient d neoplastic lesion cause weakness severe pain reasonable provide opioid pain relief definitive treatment plan determine,acute_cancer
patient d yearold race gender history renal cell carcinoma present acute neck arm pain patient d say subject neck discomfort week suddenly bad morning subject episode electrical pain shoot possessive arm patient d endorse severe pain bad flexion extension possessive neck deny recent trauma attempt control pain subject try ibuprofen acetaminophen relief physical examination note subject tender palpation possessive cervical spine flexion neck elicit severe shooting pain possessive spine mri cervical spine show multifocal lesion possessive cervical spine pathologic fracture c canal stenosis,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),patient d pathologic fracture likely metastatic disease cervical spine reasonable provide opioid pain relief pende definitive treatment plan fracture,acute_cancer
patient d yearold race gender history hepatocellular carcinoma present acute mid pain patient d state pain start subject attempt lift heavy piece furniture yesterday onset pain subject notice maintain possessive balance difficult subject stumble patient d endorse pain severe subject attempt bend stretch possessive examine patient d notice subject tender palpation midthoracic spine subject positive romberg sign obtain mri thoracic spine reveal diffuse osseous metastatic lesion severe pathologic fracture t,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),patient d pathologic fracture likely metastatic disease thoracic spine reasonable provide opioid pain relief pende definitive treatment plan fracture,acute_cancer
patient d yearold race gender present severe left posterior thigh pain patient d state subject discomfort possessive left thigh week progress frank pain day ago patient d try take ibuprofen acetaminophen subject relief pain physical examination discover subject diminish sensation dermatome span possessive left leg obtain mri lumbosacral spine discover large parasacral mass extend possessive pelvic floor,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),patient d have pain neoplasm exert mass effect pelvic floor adjacent nerve reasonable provide opioid pain relief pende definitive treatment plan neoplasm,acute_cancer
patient d yearold race gender history von hippel lindau disease present day progressive shoulder pain arm paresthesia patient d report subject long stand shoulder discomfort transform severe pain hour pain associate intermittent numbness tingling possessive arm subject have difficulty hold object possessive physical exam detect bilateral diminished sensation cc dermatome weakness bilateral hand grip mri obtain show cystic lesion involve spinal cord level cc associate syrinx,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),patient d have pain neoplasm involve spinal cord reasonable provide opioid pain relief pende definitive treatment plan neoplasm,acute_cancer
patient d yearold race gender lung cancer statuspost chemo radiation therapy present sharp thoracic pain patient d state possessive pain start day ago progress significantly point subject not sleep patient ds pain primarily lateral aspect possessive possessive sternum ibuprofen acetaminophen provide minimal relief subject endorse pain sharp bad deep inspiration patient ds physical exam remarkable severe tenderness palpation possessive sternum lateral rib cage ct scan possessive chest identify multiple osseous lesion involve sternum bilateral aspect possessive rib cage,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),patient d yearold race gender lung cancer statuspost chemo radiation therapy present sharp thoracic pain patient d state possessive pain start day ago progress significantly point subject not sleep patient ds pain primarily lateral aspect possessive sternum ibuprofen acetaminophen provide minimal relief subject endorse pain sharp bad deep inspiration patient ds physical exam remarkable severe tenderness palpation possessive sternum lateral ribcage ct scan possessive chest identify multiple osseous lesion involve sternum bilateral aspect possessive rib cage,acute_cancer
patient b yearold leukemia present emergency room complete final cycle chemotherapy patient b experience painful mouth sore day chemotherapy patient b report difficulty eat result pain try nsaid relief physical examination discover multiple ulcerative lesion mouth generally swollen oral mucosa patient b pain complaint like relief symptom,offer patient b intravenous hydromorphone pain control yes yes dose low mg high mg explain,,,patient b mucositis pain respond nonopioid topical pain medication reasonable trial consider opioid,acute_cancer
